,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
32,Mahindra,Bangalore,2013,72000.0,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5
33,Audi,Kolkata,2010,35000.0,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
34,Volkswagen,Coimbatore,2014,55431.0,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98
35,Maruti,Jaipur,2009,83816.0,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
36,Maruti,Kochi,2018,50075.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
37,Mahindra,Delhi,2017,52000.0,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85
38,Mercedes-Benz,Pune,2013,85000.0,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0
39,Volkswagen,Chennai,2013,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
40,Maruti,Delhi,2008,90000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25
41,Tata,Kochi,2014,19698.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53
42,Mahindra,Coimbatore,2017,22033.0,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58
43,Hyundai,Kochi,2014,35487.0,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74
44,Hyundai,Bangalore,2014,46374.0,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85
45,Toyota,Mumbai,2016,52001.0,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
46,Hyundai,Ahmedabad,2008,58005.0,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25
47,Toyota,Bangalore,2012,70704.0,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95
48,Hyundai,Jaipur,2014,75000.0,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
49,Mahindra,Jaipur,2012,75800.0,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5
50,Audi,Kochi,2015,13648.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
51,Maruti,Delhi,2014,52000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
52,Maruti,Kolkata,2014,53000.0,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
53,Maruti,Delhi,2013,65650.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
54,Hyundai,Chennai,2015,54000.0,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6
55,Volkswagen,Kolkata,2015,39000.0,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99
56,Renault,Kochi,2017,16542.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3
57,Hyundai,Kolkata,2010,32000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07
58,Nissan,Hyderabad,2010,121812.0,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75
59,Maruti,Hyderabad,2010,39300.0,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25
60,Toyota,Mumbai,2017,22000.0,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
61,Ford,Bangalore,2010,72000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
62,Mercedes-Benz,Delhi,2015,58000.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7
63,Mercedes-Benz,Pune,2011,65000.0,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0
64,Tata,Chennai,2016,178000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
65,Audi,Jaipur,2012,65664.0,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
66,Honda,Mumbai,2007,63000.0,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85
67,Mercedes-Benz,Coimbatore,2019,15369.0,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67
68,Maruti,Pune,2016,63000.0,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
69,Hyundai,Mumbai,2018,13000.0,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
70,Porsche,Mumbai,2008,73000.0,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5
71,Mahindra,Mumbai,2015,55729.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
72,Hyundai,Kochi,2012,45178.0,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48
73,Nissan,Kochi,2015,56066.0,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92
74,Honda,Coimbatore,2016,37300.0,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46
75,Audi,Delhi,2014,56000.0,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5
76,Ford,Jaipur,2008,111111.0,Diesel,Manual,First,17.8,1399.0,97.7,5.0,2.0
77,Toyota,Chennai,2006,230000.0,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5
78,Toyota,Hyderabad,2012,104000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
79,Hyundai,Hyderabad,2005,87591.0,Petrol,Manual,First,0.0,1086.0,97.7,5.0,1.3
80,Maruti,Jaipur,2012,95100.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
81,Tata,Pune,2017,70000.0,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5
82,Honda,Kochi,2016,54944.0,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82
83,Ford,Hyderabad,2012,70337.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
84,Maruti,Jaipur,2013,99638.0,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
85,Honda,Delhi,2009,52000.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25
86,BMW,Delhi,2011,75000.0,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9
87,Hyundai,Pune,2009,95980.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25
88,Hyundai,Bangalore,2016,16000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
89,Hyundai,Hyderabad,2007,73745.0,Petrol,Manual,First,17.0,1086.0,97.7,5.0,2.1
90,Honda,Mumbai,2016,18949.0,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0
91,Toyota,Delhi,2014,107000.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
92,Audi,Coimbatore,2018,48367.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
93,Ford,Delhi,2013,57000.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
94,Mahindra,Delhi,2014,58000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
95,Honda,Kolkata,2015,30000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
96,Volkswagen,Kolkata,2013,34212.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
97,Hyundai,Ahmedabad,2010,70002.0,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
98,Maruti,Bangalore,2016,62000.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45
99,Volkswagen,Delhi,2010,62001.0,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65
100,Hyundai,Pune,2011,78958.0,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
101,Hyundai,Mumbai,2014,30180.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65
102,Datsun,Pune,2017,32851.0,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95
103,Audi,Kolkata,2010,30000.0,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
104,Hyundai,Pune,2009,66000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
105,Maruti,Coimbatore,2010,93850.0,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
106,Toyota,Ahmedabad,2014,53000.0,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9
107,Jaguar,Hyderabad,2011,78000.0,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0
108,Mahindra,Delhi,2012,65000.0,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
109,Hyundai,Kolkata,2014,40000.0,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
110,Toyota,Mumbai,2017,30000.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
111,Maruti,Coimbatore,2017,38053.0,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
112,Tata,Bangalore,2014,25500.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15
113,BMW,Mumbai,2015,56087.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
114,Honda,Delhi,2010,71088.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35
115,Toyota,Ahmedabad,2014,55000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
116,Volvo,Bangalore,2014,32700.0,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0
117,Nissan,Coimbatore,2016,39882.0,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
118,BMW,Mumbai,2009,128000.0,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0
119,Maruti,Mumbai,2016,55000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
120,Hyundai,Mumbai,2005,102000.0,Petrol,Manual,Second,17.0,1086.0,97.7,5.0,0.85
121,Mercedes-Benz,Pune,2014,53753.0,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75
122,Hyundai,Kolkata,2018,10250.0,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
123,Maruti,Pune,2011,43874.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
124,Tata,Coimbatore,2017,32684.0,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23
125,Mahindra,Kolkata,2014,42000.0,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
126,Mercedes-Benz,Kolkata,2009,28352.0,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35
127,Maruti,Pune,2013,89900.0,CNG,Manual,First,37.24,998.0,58.16,5.0,3.25
128,Honda,Bangalore,2007,47700.0,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25
129,Volkswagen,Pune,2015,55000.0,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
130,Maruti,Kochi,2017,44285.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47
131,Mahindra,Jaipur,2016,54000.0,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
132,Maruti,Coimbatore,2016,30232.0,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81
133,Maruti,Hyderabad,2014,88500.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
134,Mercedes-Benz,Kolkata,2017,13372.0,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,5.5
135,Hyundai,Kochi,2019,12645.0,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
136,Maruti,Chennai,2010,94385.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6
137,BMW,Coimbatore,2015,31821.0,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22
138,Honda,Mumbai,2015,12000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0
139,Honda,Delhi,2012,88578.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95
140,Mercedes-Benz,Kochi,2014,44965.0,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
141,Honda,Kolkata,2014,45044.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
142,Maruti,Kochi,2016,34204.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43
143,Hyundai,Kochi,2008,80759.0,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,1.67
144,Toyota,Coimbatore,2012,91235.0,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
145,Chevrolet,Pune,2014,38800.0,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85
146,Skoda,Chennai,2013,83000.0,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
147,Maruti,Kochi,2018,41283.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9
148,Audi,Mumbai,2013,23000.0,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
149,BMW,Mumbai,2014,48000.0,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
150,Audi,Coimbatore,2015,48214.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
151,Maruti,Chennai,2016,35000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
152,Mercedes-Benz,Kolkata,2010,35277.0,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0
153,Skoda,Coimbatore,2016,54620.0,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
154,Skoda,Pune,2012,136997.0,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
155,Hyundai,Kochi,2019,14322.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23
156,Volkswagen,Jaipur,2012,65634.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
157,Datsun,Kolkata,2016,6000.0,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5
158,Honda,Kolkata,2013,33280.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39
159,Mercedes-Benz,Delhi,2013,29000.0,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25
160,Honda,Kochi,2015,42831.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
161,Toyota,Ahmedabad,2016,90000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
162,Maruti,Ahmedabad,2017,24005.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2
163,Mahindra,Mumbai,2012,32792.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
164,Ford,Kochi,2014,147898.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
165,Toyota,Mumbai,2012,131765.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
166,Volkswagen,Chennai,2013,65000.0,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
167,Ford,Jaipur,2010,66123.0,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
168,BMW,Mumbai,2015,41000.0,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,5.5
169,Mercedes-Benz,Coimbatore,2017,23550.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
170,Honda,Bangalore,2012,45000.0,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65
171,Hyundai,Delhi,2013,60000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
172,Mercedes-Benz,Bangalore,2016,44414.0,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5
173,Hyundai,Kolkata,2019,1000.0,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
174,Audi,Mumbai,2012,62500.0,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0
175,Volkswagen,Mumbai,2013,21000.0,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45
176,Mini,Jaipur,2017,8525.0,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0
177,Hyundai,Bangalore,2014,29000.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
178,Audi,Mumbai,2014,40000.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
179,Chevrolet,Jaipur,2012,88000.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
180,Skoda,Kochi,2012,53537.0,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89
181,Ford,Chennai,2006,216000.0,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45
182,BMW,Hyderabad,2014,51000.0,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
183,Chevrolet,Jaipur,2007,118500.0,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25
184,Volkswagen,Hyderabad,2012,63000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
185,Renault,Mumbai,2015,25000.0,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75
186,Mercedes-Benz,Bangalore,2014,37382.0,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
187,Maruti,Kochi,2017,24773.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
188,Hyundai,Delhi,2012,62000.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
189,Hyundai,Kochi,2017,52340.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04
190,Mahindra,Kochi,2016,56739.0,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
191,Land,Coimbatore,2018,36091.0,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,5.5
192,Ford,Chennai,2010,120000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
193,Maruti,Mumbai,2016,33000.0,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
194,Honda,Ahmedabad,2007,60006.0,Petrol,Manual,First,0.0,1493.0,97.7,5.0,2.95
195,Honda,Kolkata,2014,52000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
196,Hyundai,Jaipur,2015,43571.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55
197,Honda,Kolkata,2013,50000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25
198,Skoda,Hyderabad,2008,113000.0,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5
199,Renault,Delhi,2014,90000.0,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35
200,Mahindra,Chennai,2017,29000.0,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5
201,Maruti,Mumbai,2016,20000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
202,Hyundai,Kochi,2016,61012.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0
203,Skoda,Jaipur,2009,87459.0,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75
204,Tata,Pune,2010,70500.0,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5
205,Audi,Delhi,2015,64103.0,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9
206,Skoda,Mumbai,2014,76000.0,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0
207,Toyota,Delhi,2014,104000.0,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0
208,Maruti,Kolkata,2010,42001.0,Petrol,Manual,First,16.1,1493.0,97.7,5.0,2.11
209,Mercedes-Benz,Kochi,2014,37245.0,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96
210,Honda,Kolkata,2013,45000.0,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
211,Hyundai,Jaipur,2012,117837.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75
212,Renault,Mumbai,2014,30000.0,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95
213,Hyundai,Delhi,2015,27057.0,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15
214,Maruti,Mumbai,2016,8500.0,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22
215,Mercedes-Benz,Kolkata,2010,30500.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5
216,Audi,Delhi,2012,56000.0,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,5.5
217,Hyundai,Pune,2012,44000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9
218,Skoda,Mumbai,2017,10500.0,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9
219,Skoda,Hyderabad,2017,26000.0,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0
220,Hyundai,Coimbatore,2018,25166.0,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22
221,Honda,Kolkata,2014,64000.0,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5
222,Maruti,Chennai,2004,61000.0,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25
223,Mahindra,Hyderabad,2013,107000.0,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7
224,Mercedes-Benz,Coimbatore,2018,29161.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41
225,Maruti,Kolkata,2013,32000.0,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65
226,Nissan,Coimbatore,2015,46173.0,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92
227,Maruti,Delhi,2013,47000.0,Diesel,Manual,First,17.8,1248.0,97.7,5.0,4.1
228,Mini,Kochi,2017,26327.0,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67
229,Ford,Bangalore,2015,70436.0,Diesel,Manual,First,0.0,1498.0,99.0,5.0,3.6
230,Tata,Jaipur,2007,200000.0,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85
231,Chevrolet,Kochi,2016,60813.0,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32
232,Volkswagen,Mumbai,2012,45000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6
233,Maruti,Hyderabad,2016,64000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8
234,Ford,Kolkata,2012,41284.0,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5
235,Toyota,Kochi,2019,14165.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64
236,Hyundai,Mumbai,2011,67000.0,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0
237,Honda,Kolkata,2011,32572.0,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87
238,Hyundai,Kochi,2018,14960.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27
239,Mercedes-Benz,Kochi,2015,55980.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12
240,Chevrolet,Mumbai,2013,74000.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65
241,Hyundai,Kochi,2015,56847.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2
242,Toyota,Coimbatore,2015,121374.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3
243,Maruti,Chennai,2013,52000.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9
244,Toyota,Mumbai,2014,118000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75
245,Hyundai,Mumbai,2007,72000.0,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,0.95
246,Honda,Kochi,2016,33915.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09
247,BMW,Ahmedabad,2014,82002.0,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5
248,Hyundai,Mumbai,2017,33000.0,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75
249,Maruti,Chennai,2016,34000.0,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45
250,Skoda,Kolkata,2012,55000.0,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5
251,Hyundai,Kochi,2006,160538.0,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1.8
252,Volkswagen,Jaipur,2014,60000.0,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,3.7
253,Honda,Coimbatore,2017,49575.0,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.17
254,Hyundai,Jaipur,2010,83000.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1.75
255,Hyundai,Kochi,2018,51346.0,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,21.99
256,Toyota,Pune,2017,43000.0,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65
257,Maruti,Jaipur,2011,35000.0,Petrol,Manual,Third,19.7,796.0,35.0,5.0,1.85
258,Maruti,Coimbatore,2017,27872.0,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95
